field name,data header name,definition
GEM Mine ID,gem_mine_id,A unique alphanumeric identifier assigned to each coal mine by GEM for internal identification purposes.
MSHA ID,msha_id,A unique numerical identifier assigned to each US coal mine by the US Mine Safety and Health Administration (MSHA) for identification purposes nationwide.
Country / Area,country_area,The geographic country or area where a coal mine or proposed coal mine project is located.
Mine Name,mine_name,The name of a coal mine or proposed coal mine project.
Mine Name AKAs,mine_name_akas,The nickname or alias of a coal mine or proposed coal mine project. AKAs are often used with proposed projects which have not yet been assigned an official name.
Mine Name (Non-ENG),mine_name_non_eng,"The non-english name of a coal mine or proposed coal mine project, as it appears in the official language of the country or area where the mine is located."
Complex Name,complex_name,The name of the larger mining complex or group to which one or more coal mines belong.
GEM Wiki Page (ENG),gem_wiki_page_eng,The URL corresponding to a coal mine's or proposed coal mine project's English GEM wiki page.
GEM Wiki Page (Non-ENG),gem_wiki_page_non_eng,The URL corresponding to a coal mine's or proposed coal mine project's non-English GEM wiki page.
Status,status,"""Status"" describes the various active/inactive stages of a coal mine or mine project."
Status Detail,status_detail,"""Status detail"" describes the mine status on a granular level, such as which planning stage a proposed coal mine project has progressed to, or whether an operating mine is experiencing temporary work stoppages."
Project Type,project_type,"Refers to the type of coal mine project: expansion, extension, or new."
Project Phase,project_phase,"Refers to proposed coal mine projects that will be developed in stages, often with initial development followed by subsequent expansions over time (e.g., Phase I, II, III)."
Owners,owners,"The immediate owner of a coal mine or coal mine project who is responsible for the mining of the coal. The number in brackets next to the owning entity's name denotes the percentage of shares they hold. If an individual rather than a company owns the mine, this is indicated by the term ""natural person(s)."""
Owners GEM Entity ID,owners_gem_entity_id,"Unique identifier assigned by the GEM's Global Energy Ownership Tracker team. Renamed from 'Owner GEM Entity ID' in the May-2026 release; format also changed from 'E12345 [100%]' to 'E12345' (ownership percentages are now exclusively in the Global Energy Ownership Tracker, not denormalized into this cell)."
Owners (Non-ENG),owners_non_eng,"The non-english name of the immediate owner of the coal mine or proposed coal mine project, as it appears in the official language of the country or area where the mine is located."
Parent Company,parent_company,"The highest-level owner of a coal mine or coal mine project. The number in brackets next to the owning entity's name denotes the percentage of shares they hold. If an individual rather than a company owns the mine, this is indicated by the term ""natural person(s)."""
Company HQs,company_hqs,The geographic country or area where the parent company is headquartered in.
Capacity (Mtpa),capacity_mtpa,"The maximum amount of coal a mine or mine project is engineered to produce, expressed in millions of tonnes per year."
Production (Mtpa),production_mtpa,"The amount of coal produced by a mine, expressed in millions of tonnes per year."
Year of Production,year_of_production,"The year during which the cited coal production occurred. (If coal output for the current year is unavailable, data for the most recently available year is given.)"
"Coal Output (Annual, Mst)",coal_output_annual_mst,"The amount of coal produced by a US mine, expressed in millions of short tons per year. This value applies to US coal mines only."
Mine Type,mine_type,"The classification of coal mines by mining method, including ""Surface,"" ""Underground,"" and combined ""Underground & Surface"" facilities."
Mining Method,mining_method,The specific technique used to extract coal from the earth.
